Test started at 2026-07-29 06:35:07.374309

Running at a PLC of 1
DMM2 at voltage range of 0.1V from here -
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32
7.4343289e-07 , 1.595069999999999e-07 , 9.959130200000003e-06 , 3.0007445e-06 , 2.25731161e-06 , -3.10113984e-06 , -3.26064684e-06 , 5.02588664e-05 , 4.02997362e-05
1.7546859999999987e-08 , -5.8023560000000036e-08 , 5.535423530000001e-05 , 2.74008123e-06 , 2.72253437e-06 , -2.64411759e-06 , -2.58609403e-06 , 7.80517879e-05 , 2.26975526e-05
-4.5483319999999875e-08 , 4.2419617e-07 , 0.0001114032937 , 2.70868158e-06 , 2.7541649e-06 , -2.95296014e-06 , -3.37715631e-06 , 6.60081886e-05 , -4.53951051e-05
6.573147400000001e-07 , 5.6590311e-07 , -9.9591302e-06 , 2.81996564e-06 , 2.1626509e-06 , -2.53153801e-06 , -3.09744112e-06 , 2.01498681e-05 , 3.01089983e-05
8.704168000000018e-08 , -2.0019286000000015e-07 , -0.00011603544760000002 , 2.89176925e-06 , 2.80472757e-06 , -3.23175065e-06 , -3.03155779e-06 , 1.99182604e-05 , 0.000135953708
7.595944999999986e-08 , 8.037766099999999e-07 , 8.84741335e-05 , 2.75555018e-06 , 2.67959073e-06 , -2.54170947e-06 , -3.34548608e-06 , 7.06403422e-05 , -1.78337913e-05
-2.909084999999991e-08 , -2.3278775999999977e-07 , -0.00010098094806 , 2.49488691e-06 , 2.52397776e-06 , -3.29485994e-06 , -3.06207218e-06 , 5.09536894e-06 , 0.000106076317
-2.2372249999999996e-07 , -2.295513799999997e-07 , 4.7942789600000004e-05 , 2.76686329e-06 , 2.99058579e-06 , -2.75577249e-06 , -2.52622111e-06 , 2.26975526e-05 , -2.5245237e-05
-7.088009999999984e-08 , -2.7093074000000036e-07 , -1.7370575900000002e-05 , 2.77055736e-06 , 2.84143746e-06 , -2.71901653e-06 , -2.44808579e-06 , -8.03678647e-05 , -6.29972888e-05
-2.3757529e-07 , 6.479683200000003e-07 , 4.56267128e-05 , 2.39006749e-06 , 2.62764278e-06 , -2.27216574e-06 , -2.92013406e-06 , 3.26566828e-05 , -1.297003e-05
-6.7647776e-07 , -4.0454680000000216e-08 , 2.3160770000000002e-07 , 2.33188578e-06 , 3.00836354e-06 , -3.05190072e-06 , -3.01144604e-06 , 5.04904741e-05 , 5.02588664e-05
-2.8836884999999994e-07 , -8.784449999999946e-09 , 2.547684499999997e-06 , 3.06654524e-06 , 3.35491409e-06 , -2.71000092e-06 , -2.70121647e-06 , -4.53951051e-05 , -4.79427896e-05
7.68829699999999e-08 , 1.0864969999999998e-07 , 7.5504103e-05 , 2.54660398e-06 , 2.46972101e-06 , -2.835526e-06 , -2.9441757e-06 , -2.5245237e-05 , -0.00010074934
1.5815265e-07 , 1.0240811999999988e-07 , -3.01089983e-05 , 2.85159617e-06 , 2.69344352e-06 , -2.88730798e-06 , -2.9897161e-06 , 1.01907379e-05 , 4.02997362e-05
-4.178924000000011e-08 , 2.6052811e-07 , 7.08719499e-05 , 2.94764216e-06 , 2.9894314e-06 , -2.34798936e-06 , -2.60851747e-06 , 6.04496043e-05 , -1.04223456e-05
2.885997000000011e-08 , 1.428628000000001e-07 , 1.52861069e-05 , 2.91716602e-06 , 2.88830605e-06 , -2.89632359e-06 , -3.03918639e-06 , -1.73705759e-05 , -3.26566828e-05
-3.924957000000001e-08 , -3.1254126999999997e-07 , -0.000203814758 , 2.69598319e-06 , 2.73523276e-06 , -3.26318971e-06 , -2.95064844e-06 , -0.000130858339 , 7.2956419e-05
-1.14285492e-06 , -1.1558500000002373e-09 , 0.0001183515241 , 1.90960666e-06 , 3.05246158e-06 , -2.87598067e-06 , -2.87482482e-06 , 5.28065509e-05 , -6.55449732e-05
-1.4822481999999995e-07 , 8.738210000000008e-08 , -1.5054499199999997e-05 , 2.5680758e-06 , 2.71630062e-06 , -2.60366291e-06 , -2.69104501e-06 , -5.30381586e-05 , -3.79836594e-05
-1.3852800000000715e-09 , -4.595651100000001e-07 , 7.179837999999999e-06 , 2.88045614e-06 , 2.88184142e-06 , -2.84662213e-06 , -2.38705702e-06 , -3.05722137e-05 , -3.77520517e-05
8.08079299999999e-08 , 1.9626297000000028e-07 , -7.411445699999999e-06 , 2.61125032e-06 , 2.53044239e-06 , -2.68988916e-06 , -2.88615213e-06 , 2.26975526e-05 , 3.01089983e-05
-4.4883030000000006e-07 , -1.5095373e-07 , -6.0217996600000004e-05 , 2.49881186e-06 , 2.94764216e-06 , -2.99133429e-06 , -2.84038056e-06 , -9.07902103e-05 , -3.05722137e-05
2.1217851000000003e-07 , 1.0980555000000022e-07 , -3.52043672e-05 , 2.84374625e-06 , 2.63156774e-06 , -3.00011873e-06 , -3.10992428e-06 , -4.77111819e-05 , -1.25068147e-05
-6.293782900000001e-07 , 7.344257399999999e-07 , -8.5926449e-05 , 2.14995251e-06 , 2.7793308e-06 , -2.63764484e-06 , -3.37207058e-06 , -1.04223456e-05 , 7.55041034e-05
2.308797999999985e-08 , 1.6574858e-07 , -0.0001459128379 , 2.71514622e-06 , 2.69205824e-06 , -2.95827704e-06 , -3.12402562e-06 , -9.33378947e-05 , 5.25749432e-05
-5.686569000000001e-07 , 2.1498770000000118e-08 , 0.0001510082068 , 2.5646126e-06 , 3.1332695e-06 , -3.15315299e-06 , -3.17465176e-06 , 0.000123446893 , -2.75613138e-05
-2.5142808000000005e-07 , 8.853795000000032e-08 , 1.5054499100000002e-05 , 2.58354474e-06 , 2.83497282e-06 , -2.98486154e-06 , -3.07339949e-06 , -1.01907379e-05 , -2.5245237e-05
4.335922200000001e-07 , -5.735317100000001e-07 , -7.643053399999996e-06 , 2.82250531e-06 , 2.38891309e-06 , -3.2784469e-06 , -2.70491519e-06 , -3.54359749e-05 , -2.77929215e-05
2.2741658000000015e-07 , -2.341747799999998e-07 , 3.24250751e-05 , 3.04484254e-06 , 2.81742596e-06 , -3.13535293e-06 , -2.90117815e-06 , 5.74387045e-05 , 2.50136294e-05
-3.3639184000000033e-07 , -9.269899999999974e-08 , 7.179837999999999e-06 , 2.31664772e-06 , 2.65303956e-06 , -3.2040103e-06 , -3.1113113e-06 , -1.01907379e-05 , -1.73705759e-05
3.6940799999997673e-09 , -4.0662728000000033e-07 , -5.07220818e-05 , 2.54568046e-06 , 2.54198638e-06 , -3.3901018e-06 , -2.98347452e-06 , -5.07220818e-05 , 0.0
-1.8354941999999972e-07 , 2.0643443e-07 , -5.535423536e-05 , 2.69205824e-06 , 2.87560766e-06 , -3.11385416e-06 , -3.32028859e-06 , -4.86376126e-06 , 5.04904741e-05
-2.7821012999999984e-07 , -4.0755195999999993e-07 , 5.25749432e-05 , 2.65303956e-06 , 2.93124969e-06 , -3.26573257e-06 , -2.85818061e-06 , 2.24659449e-05 , -3.01089983e-05
