Test started at 2026-07-29 09:05:53.949911,,,,,,,,,,,,,,,,,,
Input voltage = 0.005,,,,,,,,,,,,,,,,,,
Running at a PLC of 1,,,,,,,,,,,,,,,,,,
GE1, GE2, GE3, ratio12, ratio13, ratio23, diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
0.000132924,0.000134099,1.17E-06,1.000132924,1.000134099,1.000001175,0.00982279,0.009821485,0.009821473,0.004954195,-0.004868595,0.004953631,-0.004867853,0.004952881,-0.004868592,,,,
-6.14E-05,-3.40E-05,2.74E-05,0.999938566,0.999965965,1.000027401,0.009825017,0.009825621,0.009825351,0.004959969,-0.004865048,0.004960019,-0.004865602,0.004959085,-0.004866266,,,,
2.24E-05,8.58E-07,-2.15E-05,1.000022398,1.000000858,0.999978461,0.009816412,0.009816192,0.009816404,0.004952412,-0.004864,0.004951883,-0.004864309,0.004951608,-0.004864796,,,,
0.000132839,0.000157036,2.42E-05,1.000132839,1.000157036,1.000024193,0.00981626,0.009814956,0.009814719,0.004953769,-0.004862491,0.004953221,-0.004861736,0.004952809,-0.00486191,,,,
2.84E-05,-1.71E-05,-4.55E-05,1.000028384,0.999982885,0.999954502,0.0098139,0.009813622,0.009814068,0.004957172,-0.004856728,0.004956581,-0.004857041,0.004956308,-0.00485776,,,,
1.66E-05,-9.02E-06,-2.57E-05,1.000016647,0.999990977,0.99997433,0.00981676,0.009816596,0.009816848,0.004957137,-0.004859622,0.004956573,-0.004860023,0.00495624,-0.004860608,,,,
-7.44E-05,2.40E-05,9.84E-05,0.999925647,1.000023997,1.000098358,0.009813069,0.009813799,0.009812834,0.004954364,-0.004858705,0.004954795,-0.004859004,0.004953331,-0.004859503,,,,
-1.29E-05,-2.14E-05,-8.50E-06,0.999987057,0.999978559,0.999991502,0.009827719,0.009827846,0.009827929,0.004963868,-0.00486385,0.004963387,-0.004864459,0.004962736,-0.004865193,,,,
-5.71E-06,-3.95E-05,-3.37E-05,0.999994285,0.999960543,0.999966257,0.009820076,0.009820133,0.009820464,0.004954557,-0.004865519,0.00495409,-0.004866043,0.004953634,-0.00486683,,,,
0.000203557,0.000210742,7.18E-06,1.000203557,1.000210742,1.000007183,0.009826271,0.009824272,0.009824201,0.004958524,-0.004867748,0.004957841,-0.004866431,0.004957372,-0.004866829,,,,
4.86E-06,1.23E-05,7.46E-06,1.000004855,1.000012314,1.000007458,0.009820112,0.009820064,0.009819991,0.004957286,-0.004862826,0.004956741,-0.004863323,0.004955936,-0.004864055,,,,
-1.50E-06,-1.16E-05,-1.01E-05,0.999998499,0.999988431,0.999989932,0.009819237,0.009819252,0.009819351,0.00495662,-0.004862617,0.004956127,-0.004863125,0.004955509,-0.004863841,,,,
-1.66E-05,-2.22E-05,-5.51E-06,0.999983356,0.999977849,0.999994493,0.009824877,0.009825041,0.009825095,0.004952832,-0.004872045,0.004952334,-0.004872707,0.004951572,-0.004873522,,,,
,,,,,,,,,,,,,,,,,,
Input voltage = 0.005,,,,,,,,,,,,,,,,,,
Running at a PLC of 100,,,,,,,,,,,,,,,,,,
GE1, GE2, GE3, ratio12, ratio13, ratio23, diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
-1.43E-06,1.63E-05,1.78E-05,0.999998574,1.000016334,1.00001776,0.009815824,0.009815838,0.009815664,0.004953116,-0.004862708,0.004952695,-0.004863144,0.004951945,-0.004863719,Average,0.0013%,0.0012%,-0.0001%
-5.79E-06,-3.46E-06,2.32E-06,0.999994215,0.999996538,1.000002323,0.009818292,0.009818348,0.009818326,0.004952731,-0.00486556,0.004952258,-0.004866091,0.004951775,-0.00486655,Max,0.0043%,0.0048%,0.0026%
1.19E-05,2.33E-05,1.15E-05,1.000011881,1.000023335,1.000011454,0.009815112,0.009814996,0.009814883,0.004954133,-0.004860979,0.004953543,-0.004861453,0.004953203,-0.00486168,Min,-0.0020%,-0.0026%,-0.0029%
9.70E-06,8.50E-06,-1.21E-06,1.000009703,1.000008497,0.999998794,0.009816605,0.009816509,0.009816521,0.004952976,-0.004863628,0.004952547,-0.004863962,0.004952258,-0.004864263,Spread,0.0063%,0.0075%,0.0055%
1.89E-05,2.17E-05,2.79E-06,1.000018934,1.00002172,1.000002786,0.009819193,0.009819008,0.00981898,0.00495884,-0.004860353,0.004958414,-0.004860593,0.004958197,-0.004860783,,,,
2.04E-05,1.43E-05,-6.17E-06,1.000020444,1.000014271,0.999993827,0.009817053,0.009816853,0.009816913,0.004955966,-0.004861088,0.004955592,-0.004861261,0.004955309,-0.004861604,,,,
2.87E-05,1.78E-05,-1.09E-05,1.000028677,1.000017806,0.99998913,0.009818612,0.009818331,0.009818437,0.004956203,-0.004862409,0.004955913,-0.004862418,0.004955672,-0.004862765,,,,
1.41E-05,2.84E-05,1.43E-05,1.000014063,1.000028404,1.000014341,0.009821824,0.009821686,0.009821545,0.004958457,-0.004863367,0.004958244,-0.004863441,0.004957814,-0.004863731,,,,
1.03E-05,-9.19E-06,-1.95E-05,1.000010296,0.999990814,0.999980518,0.009809376,0.009809275,0.009809466,0.004950563,-0.004858813,0.004950455,-0.00485882,0.00495001,-0.004859456,,,,
2.13E-06,-2.63E-05,-2.85E-05,1.000002135,0.999973669,0.999971535,0.00982429,0.009824269,0.009824549,0.004955941,-0.004868349,0.004955717,-0.004868552,0.004955175,-0.004869373,,,,
-2.54E-06,-6.23E-06,-3.69E-06,0.999997456,0.99999377,0.999996314,0.009818459,0.009818484,0.009818521,0.004951068,-0.004867391,0.004950757,-0.004867728,0.004950273,-0.004868247,,,,
2.57E-05,2.00E-06,-2.37E-05,1.000025705,1.000001997,0.999976292,0.009826736,0.009826484,0.009826717,0.00495485,-0.004871886,0.004954377,-0.004872107,0.004953983,-0.004872734,,,,
1.43E-05,1.74E-05,3.02E-06,1.000014341,1.000017362,1.00000302,0.009826382,0.009826241,0.009826212,0.004953763,-0.004872619,0.004953599,-0.004872642,0.004952942,-0.004873269,,,,
-1.39E-05,4.63E-06,1.85E-05,0.999986105,1.000004627,1.000018522,0.009820669,0.009820805,0.009820623,0.004954846,-0.004865823,0.004954855,-0.00486595,0.004954097,-0.004866526,,,,
1.04E-05,1.10E-05,6.63E-07,1.000010372,1.000011034,1.000000663,0.009822032,0.00982193,0.009821923,0.00495715,-0.004864882,0.004956962,-0.004864968,0.004956254,-0.004865669,,,,
1.57E-05,8.93E-06,-6.74E-06,1.000015672,1.000008932,0.999993261,0.00982153,0.009821376,0.009821442,0.004954763,-0.004866767,0.00495455,-0.004866827,0.004953842,-0.004867601,,,,
3.13E-05,4.37E-05,1.24E-05,1.000031302,1.000043722,1.000012419,0.009828279,0.009827971,0.009827849,0.004962984,-0.004865295,0.004962629,-0.004865342,0.004961824,-0.004866025,,,,
3.98E-05,2.86E-05,-1.12E-05,1.00003984,1.000028628,0.999988788,0.00982667,0.009826279,0.009826389,0.004956568,-0.004870102,0.00495624,-0.004870039,0.004955624,-0.004870765,,,,
6.56E-06,6.67E-07,-5.89E-06,1.000006559,1.000000667,0.999994108,0.009823413,0.009823349,0.009823407,0.004955969,-0.004867445,0.004955978,-0.004867371,0.004955126,-0.004868281,,,,
5.90E-06,1.54E-05,9.51E-06,1.000005898,1.000015407,1.000009509,0.009825529,0.009825471,0.009825378,0.004957654,-0.004867875,0.00495757,-0.004867902,0.004956766,-0.004868611,,,,
-1.98E-05,-9.55E-06,1.03E-05,0.999980188,0.99999045,1.000010261,0.009818321,0.009818516,0.009818415,0.004955754,-0.004862567,0.004955898,-0.004862618,0.004954959,-0.004863456,,,,
3.38E-05,5.19E-06,-2.86E-05,1.000033758,1.000005187,0.999971429,0.009830466,0.009830134,0.009830415,0.004958166,-0.0048723,0.004958076,-0.004872058,0.004957439,-0.004872976,,,,
-1.09E-05,-1.79E-06,9.15E-06,0.999989061,0.999998213,1.000009152,0.009819545,0.009819653,0.009819563,0.004954609,-0.004864936,0.004954515,-0.004865138,0.004953657,-0.004865906,,,,
3.79E-05,2.38E-05,-1.41E-05,1.000037944,1.000023801,0.999985858,0.009821923,0.009821551,0.009821689,0.004956931,-0.004864992,0.004956813,-0.004864738,0.004955817,-0.004865873,,,,
-4.72E-06,-2.28E-06,2.44E-06,0.999995279,0.999997716,1.000002437,0.009827965,0.009828011,0.009827987,0.004957159,-0.004870805,0.004957122,-0.00487089,0.004955907,-0.00487208,,,,
4.82E-06,-1.51E-06,-6.33E-06,1.00000482,0.999998486,0.999993666,0.009823065,0.009823017,0.009823079,0.004956216,-0.004866848,0.004956234,-0.004866783,0.004954962,-0.004868117,,,,
3.95E-06,-1.25E-05,-1.65E-05,1.000003948,0.999987486,0.999983538,0.009817844,0.009817805,0.009817967,0.00495528,-0.004862564,0.004955296,-0.004862509,0.004954099,-0.004863868,,,,
1.79E-05,2.21E-05,4.17E-06,1.000017906,1.000022075,1.000004169,0.00981716,0.009816984,0.009816943,0.004954118,-0.004863042,0.004954079,-0.004862905,0.004952786,-0.004864157,,,,
3.94E-05,3.91E-05,-2.90E-07,1.000039379,1.000039088,0.99999971,0.009821436,0.009821049,0.009821052,0.004956919,-0.004864517,0.004956921,-0.004864128,0.004955589,-0.004865463,,,,
2.41E-05,2.60E-05,1.86E-06,1.000024108,1.00002597,1.000001862,0.009820729,0.009820492,0.009820474,0.004953408,-0.004867322,0.004953521,-0.004866971,0.004952103,-0.004868371,,,,
3.00E-05,4.84E-05,1.84E-05,1.000029987,1.000048356,1.000018368,0.009818539,0.009818244,0.009818064,0.004956665,-0.004861873,0.004956911,-0.004861333,0.004955311,-0.004862753,,,,
4.27E-05,3.18E-05,-1.09E-05,1.000042709,1.000031773,0.999989064,0.009820111,0.009819691,0.009819799,0.004956045,-0.004864066,0.004956311,-0.00486338,0.004954916,-0.004864882,,,,
1.47E-05,-1.02E-05,-2.49E-05,1.000014733,0.999989821,0.999975089,0.00983075,0.009830605,0.00983085,0.004963206,-0.004867544,0.004963676,-0.004866929,0.00496239,-0.00486846,,,,
1.24E-05,2.24E-05,9.97E-06,1.000012428,1.000022402,1.000009973,0.009824456,0.009824334,0.009824236,0.004957878,-0.004866578,0.004958192,-0.004866142,0.004956538,-0.004867698,,,,
2.10E-05,1.32E-05,-7.86E-06,1.000021044,1.00001318,0.999992136,0.009826359,0.009826153,0.00982623,0.004959803,-0.004866556,0.004960119,-0.004866033,0.004958546,-0.004867684,,,,
-8.26E-06,1.79E-05,2.61E-05,0.99999174,1.000017864,1.000026125,0.009829224,0.009829305,0.009829049,0.004956378,-0.004872846,0.004956604,-0.004872701,0.004954927,-0.004874122,,,,
-5.29E-07,1.25E-05,1.30E-05,0.999999471,1.000012498,1.000013026,0.009820119,0.009820125,0.009819997,0.004954094,-0.004866025,0.004954177,-0.004865948,0.004952741,-0.004867255,,,,
9.49E-06,1.05E-05,1.05E-06,1.000009493,1.000010545,1.000001052,0.009828512,0.009828419,0.009828408,0.00495922,-0.004869292,0.004959315,-0.004869104,0.00495806,-0.004870348,,,,
1.21E-05,1.60E-05,3.91E-06,1.000012089,1.000016003,1.000003914,0.009824005,0.009823886,0.009823848,0.004954244,-0.004869761,0.004954399,-0.004869488,0.004953118,-0.00487073,,,,
3.49E-06,5.17E-06,1.68E-06,1.00000349,1.000005167,1.000001678,0.00982894,0.009828906,0.00982889,0.004956475,-0.004872466,0.004956753,-0.004872153,0.004955332,-0.004873558,,,,
,,,,,,,,,,,,,,,,,,
Input voltage = 0.05,,,,,,,,,,,,,,,,,,
Running at a PLC of 1,,,,,,,,,,,,,,,,,,
GE1, GE2, GE3, ratio12, ratio13, ratio23, diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
0.00011583,0.000105423,-1.04E-05,1.00011583,1.000105423,0.999989594,0.099119865,0.099108385,0.099109416,0.049599841,-0.049520024,0.049598329,-0.049510056,0.049598255,-0.049511161,Average,0.00%,0.00%,0.00%
-3.82E-05,3.71E-06,4.19E-05,0.999961771,1.000003712,1.000041942,0.099090902,0.099094691,0.099090535,0.049588442,-0.04950246,0.049592805,-0.049501886,0.049587157,-0.049503378,Max,0.02%,0.01%,0.01%
3.78E-06,2.51E-06,-1.27E-06,1.000003781,1.00000251,0.999998729,0.099098569,0.099098195,0.099098321,0.04959308,-0.04950549,0.049592254,-0.049505941,0.049591541,-0.04950678,Min,-0.01%,-0.02%,-0.02%
0.000127834,0.000119322,-8.51E-06,1.000127834,1.000119322,0.999991489,0.099107505,0.099094837,0.099095681,0.049587019,-0.049520486,0.049586693,-0.049508145,0.049585886,-0.049509795,Spread,0.03%,0.03%,0.03%
9.83E-06,3.84E-06,-5.98E-06,1.000009829,1.000003844,0.999994015,0.099105002,0.099104028,0.099104621,0.049595676,-0.049509327,0.049594767,-0.049509262,0.049594171,-0.049510451,,,,
7.38E-06,-6.42E-06,-1.38E-05,1.000007375,0.999993575,0.9999862,0.099101925,0.099101194,0.099102561,0.04958547,-0.049516454,0.049585561,-0.049515633,0.049584567,-0.049517994,,,,
