Test started at 2026-07-29 09:45:40.589254,,,,,,,,,,,,
,,,,,,,,,,,,
Running at a PLC of 1,,,,,,,,,,,,
DMM2 at voltage range of 0.1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
3.83E-08,-1.33E-07,-6.99E-06,-9.34E-07,-9.72E-07,-1.28E-05,-1.26E-05,2.01E-05,2.71E-05,,,,
-7.66E-08,-1.05E-07,1.32E-05,-8.67E-07,-7.91E-07,-1.27E-05,-1.26E-05,3.62E-05,2.29E-05,,,,
8.04E-08,-1.94E-07,-1.23E-05,-8.23E-07,-9.03E-07,-1.26E-05,-1.25E-05,9.96E-07,1.33E-05,,,,
4.03E-08,-8.50E-08,-2.70E-05,-7.00E-07,-7.40E-07,-1.28E-05,-1.27E-05,-4.47E-06,2.25E-05,,,,
,,,,,,,,,,,,
DMM2 at voltage range of 1V from here -,,,,,,,,,,,,
diff1, diff2, diff3, r11, r12, r21, r22, r31, r32,,,,
4.84E-07,-1.08E-07,-2.14E-05,-5.67E-07,-1.05E-06,-1.29E-05,-1.28E-05,-3.13E-06,1.83E-05,Average,0.0000%,0.0000%,-0.0002%
-1.56E-07,-4.05E-07,-3.87E-06,-8.12E-07,-6.56E-07,-1.30E-05,-1.26E-05,8.78E-06,1.26E-05,Max,0.0000%,0.0000%,0.0047%
-5.94E-08,2.23E-07,-1.31E-05,-7.47E-07,-6.87E-07,-1.25E-05,-1.28E-05,1.62E-05,2.93E-05,Min,0.0000%,0.0000%,-0.0051%
-3.07E-07,2.20E-07,2.96E-06,-8.55E-07,-5.47E-07,-1.26E-05,-1.29E-05,1.52E-05,1.23E-05,Spread,0.0001%,0.0001%,0.0097%
-7.37E-08,1.73E-07,-1.79E-05,-6.75E-07,-6.01E-07,-1.27E-05,-1.28E-05,2.46E-06,2.04E-05,,,,
-9.77E-09,1.59E-08,3.01E-06,-5.54E-07,-5.44E-07,-1.29E-05,-1.29E-05,6.69E-06,3.68E-06,,,,
9.69E-08,-2.38E-08,1.42E-05,-5.25E-07,-6.22E-07,-1.28E-05,-1.27E-05,6.39E-06,-7.78E-06,,,,
-3.64E-08,8.64E-08,1.16E-07,-6.43E-07,-6.07E-07,-1.28E-05,-1.29E-05,3.13E-06,3.01E-06,,,,
-2.11E-08,-9.96E-08,2.18E-05,-6.31E-07,-6.10E-07,-1.28E-05,-1.27E-05,3.06E-06,-1.88E-05,,,,
1.85E-07,8.78E-09,1.94E-05,-5.38E-07,-7.23E-07,-1.28E-05,-1.28E-05,1.33E-05,-6.09E-06,,,,
1.38E-07,-8.88E-08,4.68E-05,-5.92E-07,-7.30E-07,-1.30E-05,-1.29E-05,4.37E-05,-3.06E-06,,,,
3.47E-08,-6.63E-08,-5.06E-05,-5.36E-07,-5.70E-07,-1.27E-05,-1.27E-05,-6.21E-06,4.44E-05,,,,
-7.66E-08,8.18E-08,9.89E-06,-5.26E-07,-4.49E-07,-1.27E-05,-1.28E-05,2.36E-05,1.37E-05,,,,
3.02E-09,1.30E-07,1.31E-05,-4.98E-07,-5.01E-07,-1.28E-05,-1.29E-05,4.63E-06,-8.43E-06,,,,
-1.40E-07,-6.77E-08,1.94E-05,-5.05E-07,-3.66E-07,-1.26E-05,-1.26E-05,2.70E-05,7.64E-06,,,,
-1.98E-07,-1.35E-07,1.00E-05,-5.52E-07,-3.54E-07,-1.27E-05,-1.25E-05,3.24E-05,2.24E-05,,,,
3.35E-08,1.46E-07,-2.40E-05,-3.83E-07,-4.16E-07,-1.26E-05,-1.27E-05,1.90E-06,2.59E-05,,,,
-1.37E-07,-1.49E-07,1.90E-05,-5.05E-07,-3.68E-07,-1.27E-05,-1.26E-05,8.27E-06,-1.07E-05,,,,
-1.97E-07,1.69E-07,-1.62E-05,-5.39E-07,-3.42E-07,-1.26E-05,-1.27E-05,-1.76E-06,1.44E-05,,,,
-1.24E-07,-2.08E-09,-1.44E-05,-3.94E-07,-2.70E-07,-1.27E-05,-1.27E-05,1.16E-05,2.60E-05,,,,
1.41E-07,-1.69E-07,-1.20E-05,-4.20E-07,-5.61E-07,-1.27E-05,-1.25E-05,-1.75E-05,-5.42E-06,,,,
6.98E-08,2.13E-08,1.15E-05,-3.32E-07,-4.02E-07,-1.25E-05,-1.25E-05,2.17E-05,1.02E-05,,,,
1.14E-07,-1.54E-07,-2.10E-05,-1.25E-07,-2.40E-07,-1.27E-05,-1.26E-05,1.39E-06,2.24E-05,,,,
-4.17E-08,-5.99E-08,8.08E-06,-2.77E-07,-2.35E-07,-1.26E-05,-1.25E-05,-3.89E-06,-1.20E-05,,,,
-8.19E-08,2.10E-07,-2.08E-05,-3.18E-07,-2.36E-07,-1.24E-05,-1.26E-05,-1.02E-06,1.98E-05,,,,
-9.96E-08,-2.12E-07,1.78E-05,-3.17E-07,-2.17E-07,-1.27E-05,-1.25E-05,7.06E-06,-1.08E-05,,,,
-1.45E-07,-9.01E-09,9.03E-07,-3.89E-07,-2.44E-07,-1.25E-05,-1.25E-05,3.20E-06,2.29E-06,,,,
2.33E-08,2.31E-08,-6.55E-06,-1.15E-07,-1.39E-07,-1.25E-05,-1.26E-05,-1.33E-05,-6.74E-06,,,,
-1.71E-07,1.04E-08,-3.20E-06,-4.33E-07,-2.62E-07,-1.24E-05,-1.24E-05,2.24E-05,2.56E-05,,,,
2.42E-09,-7.86E-08,-2.89E-05,-1.95E-07,-1.98E-07,-1.26E-05,-1.25E-05,7.50E-06,3.64E-05,,,,
-2.35E-07,-1.11E-07,-2.37E-05,-2.21E-07,1.43E-08,-1.26E-05,-1.25E-05,1.69E-06,2.54E-05,,,,
3.75E-07,1.85E-09,-1.41E-06,-1.34E-07,-5.09E-07,-1.25E-05,-1.25E-05,9.80E-06,1.12E-05,,,,
